Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Sales,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
252-56-2699,Colombo,Colombo,Member,Female,Grocery & Snacks,12957,10,6478.5,136048.5,2/7/2019,4:48:00 PM,Mobile Payment,129570,4.761904762,6478.5,8.2
829-34-3910,Colombo,Colombo,Member,Female,Ayurvedic & Personal Care,21414,10,10707,224847,3/29/2019,7:21:00 PM,Cash,214140,4.761904762,10707,5.7
299-46-1805,Galle,Galle,Member,Female,Travel Packs & Gear,28116,6,8434.8,177130.8,1/15/2019,4:19:00 PM,Cash,168696,4.761904762,8434.8,4.5
656-95-9349,Colombo,Colombo,Member,Female,Ayurvedic & Personal Care,20679,7,7237.65,151990.65,3/11/2019,11:03:00 AM,Credit Card,144753,4.761904762,7237.65,4.6
765-26-6951,Colombo,Colombo,Member,Female,Travel Packs & Gear,21783,6,6534.9,137232.9,1/1/2019,10:39:00 AM,Credit Card,130698,4.761904762,6534.9,6.9
329-62-1586,Colombo,Colombo,Member,Female,Grocery & Snacks,16401,3,2460.15,51663.15,1/21/2019,6:00:00 PM,Credit Card,49203,4.761904762,2460.15,8.6
319-50-3348,Galle,Galle,Member,Female,Household Essentials,12090,2,1209,25389,3/11/2019,3:30:00 PM,Mobile Payment,24180,4.761904762,1209,4.4
300-71-4605,Kandy,Kandy,Member,Female,Mobile & Accessories,25812,5,6453,135513,2/25/2019,11:24:00 AM,Mobile Payment,129060,4.761904762,6453,4.8
371-85-5789,Galle,Galle,Member,Female,Ayurvedic & Personal Care,26394,3,3959.1,83141.1,3/5/2019,10:40:00 AM,Mobile Payment,79182,4.761904762,3959.1,5.1
273-16-6619,Galle,Galle,Member,Female,Household Essentials,9960,2,996,20916,3/15/2019,12:20:00 PM,Credit Card,19920,4.761904762,996,4.4
636-48-8204,Colombo,Colombo,Member,Female,Mobile & Accessories,10368,5,2592,54432,2/17/2019,11:15:00 AM,Mobile Payment,51840,4.761904762,2592,9.9
549-59-1358,Colombo,Colombo,Member,Female,Travel Packs & Gear,26589,3,3988.35,83755.35,3/2/2019,5:36:00 PM,Mobile Payment,79767,4.761904762,3988.35,6
227-03-5010,Colombo,Colombo,Member,Female,Household Essentials,15777,8,6310.8,132526.8,3/22/2019,7:20:00 PM,Credit Card,126216,4.761904762,6310.8,8.5
649-29-6775,Galle,Galle,Member,Female,Apparel & Footwear,10056,1,502.8,10558.8,2/8/2019,3:31:00 PM,Cash,10056,4.761904762,502.8,6.7
189-17-4241,Colombo,Colombo,Member,Female,Apparel & Footwear,26301,2,2630.1,55232.1,3/10/2019,12:17:00 PM,Credit Card,52602,4.761904762,2630.1,7.7
145-94-9061,Galle,Galle,Member,Female,Grocery & Snacks,26508,5,6627,139167,1/25/2019,7:48:00 PM,Cash,132540,4.761904762,6627,9.6
848-62-7243,Colombo,Colombo,Member,Female,Ayurvedic & Personal Care,7467,9,3360.15,70563.15,3/15/2019,3:36:00 PM,Cash,67203,4.761904762,3360.15,7.4
871-79-8483,Galle,Galle,Member,Female,Apparel & Footwear,28239,5,7059.75,148254.75,2/25/2019,7:39:00 PM,Credit Card,141195,4.761904762,7059.75,4.8
149-71-6266,Galle,Galle,Member,Female,Travel Packs & Gear,23421,9,10539.45,221328.45,1/28/2019,12:43:00 PM,Cash,210789,4.761904762,10539.45,4.5
640-49-2076,Galle,Galle,Member,Female,Travel Packs & Gear,25134,8,10053.6,211125.6,1/10/2019,2:49:00 PM,Cash,201072,4.761904762,10053.6,5.1
595-11-5460,Colombo,Colombo,Member,Female,Ayurvedic & Personal Care,28974,2,2897.4,60845.4,3/15/2019,10:12:00 AM,Credit Card,57948,4.761904762,2897.4,5.1
183-56-6882,Kandy,Kandy,Member,Female,Grocery & Snacks,29826,4,5965.2,125269.2,2/6/2019,10:42:00 AM,Mobile Payment,119304,4.761904762,5965.2,7.5
232-16-2483,Kandy,Kandy,Member,Female,Travel Packs & Gear,20436,1,1021.8,21457.8,1/7/2019,12:28:00 PM,Mobile Payment,20436,4.761904762,1021.8,6.8
129-29-8530,Colombo,Colombo,Member,Female,Travel Packs & Gear,18786,5,4696.5,98626.5,3/10/2019,7:15:00 PM,Mobile Payment,93930,4.761904762,4696.5,7
272-65-1806,Colombo,Colombo,Member,Female,Mobile & Accessories,18264,9,8218.8,172594.8,1/15/2019,5:17:00 PM,Mobile Payment,164376,4.761904762,8218.8,4.7
333-73-7901,Kandy,Kandy,Member,Female,Ayurvedic & Personal Care,16476,8,6590.4,138398.4,3/23/2019,1:24:00 PM,Mobile Payment,131808,4.761904762,6590.4,7.6
777-82-7220,Galle,Galle,Member,Female,Household Essentials,9036,8,3614.4,75902.4,3/3/2019,1:01:00 PM,Cash,72288,4.761904762,3614.4,7.7
280-35-5823,Galle,Galle,Member,Female,Household Essentials,26016,1,1300.8,27316.8,1/17/2019,6:45:00 PM,Mobile Payment,26016,4.761904762,1300.8,7.9
554-53-8700,Kandy,Kandy,Member,Female,Household Essentials,16833,2,1683.3,35349.3,2/2/2019,10:11:00 AM,Cash,33666,4.761904762,1683.3,6.3
354-25-5821,Galle,Galle,Member,Female,Travel Packs & Gear,20736,6,6220.8,130636.8,2/8/2019,1:03:00 PM,Cash,124416,4.761904762,6220.8,5.6
228-96-1411,Kandy,Kandy,Member,Female,Grocery & Snacks,29610,8,11844,248724,3/4/2019,8:39:00 PM,Cash,236880,4.761904762,11844,7.6
617-15-4209,Kandy,Kandy,Member,Female,Ayurvedic & Personal Care,4611,2,461.1,9683.1,3/16/2019,7:47:00 PM,Cash,9222,4.761904762,461.1,7.2
132-32-9879,Galle,Galle,Member,Female,Mobile & Accessories,28188,4,5637.6,118389.6,3/9/2019,6:00:00 PM,Cash,112752,4.761904762,5637.6,9.5
370-41-7321,Galle,Galle,Member,Female,Ayurvedic & Personal Care,17007,9,7653.15,160716.15,2/27/2019,5:24:00 PM,Credit Card,153063,4.761904762,7653.15,8.4
727-46-3608,Galle,Galle,Member,Female,Grocery & Snacks,6003,9,2701.35,56728.35,2/6/2019,3:47:00 PM,Mobile Payment,54027,4.761904762,2701.35,4.1
669-54-1719,Galle,Galle,Member,Female,Mobile & Accessories,5679,6,1703.7,35777.7,2/10/2019,12:45:00 PM,Credit Card,34074,4.761904762,1703.7,8.1
574-22-5561,Kandy,Kandy,Member,Female,Apparel & Footwear,24789,10,12394.5,260284.5,3/19/2019,5:08:00 PM,Mobile Payment,247890,4.761904762,12394.5,7.9
326-78-5178,Kandy,Kandy,Member,Female,Grocery & Snacks,27420,7,9597,201537,2/3/2019,10:19:00 AM,Cash,191940,4.761904762,9597,9.5
162-48-8011,Colombo,Colombo,Member,Female,Grocery & Snacks,13377,5,3344.25,70229.25,2/10/2019,3:10:00 PM,Cash,66885,4.761904762,3344.25,8.5
616-24-2851,Galle,Galle,Member,Female,Apparel & Footwear,5361,4,1072.2,22516.2,3/22/2019,2:42:00 PM,Mobile Payment,21444,4.761904762,1072.2,6.5
778-71-5554,Kandy,Kandy,Member,Female,Apparel & Footwear,4629,1,231.45,4860.45,1/25/2019,3:46:00 PM,Credit Card,4629,4.761904762,231.45,6.1
242-55-6721,Galle,Galle,Member,Female,Household Essentials,4848,2,484.8,10180.8,3/7/2019,11:49:00 AM,Mobile Payment,9696,4.761904762,484.8,6.5
399-46-5918,Kandy,Kandy,Member,Female,Mobile & Accessories,25794,8,10317.6,216669.6,2/28/2019,7:01:00 PM,Cash,206352,4.761904762,10317.6,8.2
106-35-6779,Colombo,Colombo,Member,Female,Household Essentials,13302,2,1330.2,27934.2,3/27/2019,11:26:00 AM,Cash,26604,4.761904762,1330.2,5.8
635-40-6220,Colombo,Colombo,Member,Female,Ayurvedic & Personal Care,26880,8,10752,225792,2/7/2019,11:28:00 AM,Mobile Payment,215040,4.761904762,10752,6.6
817-48-8732,Colombo,Colombo,Member,Female,Household Essentials,21705,10,10852.5,227902.5,1/20/2019,3:55:00 PM,Cash,217050,4.761904762,10852.5,5.4
120-06-4233,Kandy,Kandy,Member,Female,Mobile & Accessories,9183,6,2754.9,57852.9,3/12/2019,8:36:00 PM,Cash,55098,4.761904762,2754.9,9.3
285-68-5083,Kandy,Kandy,Member,Female,Travel Packs & Gear,7422,3,1113.3,23379.3,2/15/2019,5:47:00 PM,Credit Card,22266,4.761904762,1113.3,10
803-83-5989,Kandy,Kandy,Member,Female,Household Essentials,16719,6,5015.7,105329.7,2/24/2019,10:55:00 AM,Mobile Payment,100314,4.761904762,5015.7,7
347-34-2234,Galle,Galle,Member,Female,Travel Packs & Gear,16521,9,7434.45,156123.45,2/3/2019,1:40:00 PM,Mobile Payment,148689,4.761904762,7434.45,10
199-75-8169,Colombo,Colombo,Member,Female,Travel Packs & Gear,4743,10,2371.5,49801.5,3/6/2019,12:27:00 PM,Credit Card,47430,4.761904762,2371.5,8.6
853-23-2453,Galle,Galle,Member,Female,Ayurvedic & Personal Care,22722,4,4544.4,95432.4,2/14/2019,2:35:00 PM,Cash,90888,4.761904762,4544.4,7.6
877-22-3308,Colombo,Colombo,Member,Female,Ayurvedic & Personal Care,4761,10,2380.5,49990.5,3/13/2019,4:40:00 PM,Cash,47610,4.761904762,2380.5,5.8
838-78-4295,Kandy,Kandy,Member,Female,Ayurvedic & Personal Care,10041,2,1004.1,21086.1,2/10/2019,3:43:00 PM,Mobile Payment,20082,4.761904762,1004.1,6.7
109-28-2512,Galle,Galle,Member,Female,Apparel & Footwear,29283,6,8784.9,184482.9,1/7/2019,3:01:00 PM,Mobile Payment,175698,4.761904762,8784.9,9.9
232-11-3025,Colombo,Colombo,Member,Female,Travel Packs & Gear,23631,10,11815.5,248125.5,1/24/2019,10:04:00 AM,Cash,236310,4.761904762,11815.5,6.4
382-03-4532,Colombo,Colombo,Member,Female,Ayurvedic & Personal Care,5499,1,274.95,5773.95,2/2/2019,6:50:00 PM,Cash,5499,4.761904762,274.95,4.3
393-65-2792,Kandy,Kandy,Member,Female,Grocery & Snacks,26844,10,13422,281862,1/6/2019,12:46:00 PM,Credit Card,268440,4.761904762,13422,9.6
796-12-2025,Kandy,Kandy,Member,Female,Apparel & Footwear,18636,10,9318,195678,2/11/2019,4:19:00 PM,Cash,186360,4.761904762,9318,5.9
510-95-6347,Galle,Galle,Member,Female,Grocery & Snacks,14556,3,2183.4,45851.4,3/5/2019,6:17:00 PM,Mobile Payment,43668,4.761904762,2183.4,4
841-35-6630,Kandy,Kandy,Member,Female,Mobile & Accessories,22773,6,6831.9,143469.9,3/9/2019,6:21:00 PM,Cash,136638,4.761904762,6831.9,8.7
287-21-9091,Colombo,Colombo,Member,Female,Household Essentials,22401,9,10080.45,211689.45,1/22/2019,10:55:00 AM,Mobile Payment,201609,4.761904762,10080.45,9.4
732-94-0499,Kandy,Kandy,Member,Female,Mobile & Accessories,12495,10,6247.5,131197.5,1/13/2019,5:04:00 PM,Credit Card,124950,4.761904762,6247.5,5.4
263-10-3913,Kandy,Kandy,Member,Female,Apparel & Footwear,14712,9,6620.4,139028.4,1/9/2019,2:20:00 PM,Credit Card,132408,4.761904762,6620.4,8.6
381-20-0914,Colombo,Colombo,Member,Female,Apparel & Footwear,6003,9,2701.35,56728.35,1/12/2019,3:48:00 PM,Credit Card,54027,4.761904762,2701.35,5.7
829-49-1914,Kandy,Kandy,Member,Female,Grocery & Snacks,23493,10,11746.5,246676.5,3/5/2019,4:24:00 PM,Mobile Payment,234930,4.761904762,11746.5,6.6
756-01-7507,Kandy,Kandy,Member,Female,Ayurvedic & Personal Care,6114,5,1528.5,32098.5,1/22/2019,6:56:00 PM,Cash,30570,4.761904762,1528.5,6
870-72-4431,Kandy,Kandy,Member,Female,Ayurvedic & Personal Care,29757,6,8927.1,187469.1,1/21/2019,2:42:00 PM,Credit Card,178542,4.761904762,8927.1,5.5
847-38-7188,Galle,Galle,Member,Female,Grocery & Snacks,29004,3,4350.6,91362.6,1/26/2019,7:56:00 PM,Mobile Payment,87012,4.761904762,4350.6,6.4
480-63-2856,Kandy,Kandy,Member,Female,Grocery & Snacks,5775,8,2310,48510,1/23/2019,6:37:00 PM,Mobile Payment,46200,4.761904762,2310,6.6
787-56-0757,Kandy,Kandy,Member,Female,Grocery & Snacks,24108,4,4821.6,101253.6,2/23/2019,6:45:00 PM,Credit Card,96432,4.761904762,4821.6,8.3
360-39-5055,Kandy,Kandy,Member,Female,Travel Packs & Gear,14673,5,3668.25,77033.25,3/9/2019,10:17:00 AM,Cash,73365,4.761904762,3668.25,6.6
730-50-9884,Kandy,Kandy,Member,Female,Travel Packs & Gear,24918,7,8721.3,183147.3,3/5/2019,2:31:00 PM,Mobile Payment,174426,4.761904762,8721.3,4
362-58-8315,Kandy,Kandy,Member,Female,Apparel & Footwear,22956,5,5739,120519,3/25/2019,10:23:00 AM,Cash,114780,4.761904762,5739,9.9
633-44-8566,Colombo,Colombo,Member,Female,Grocery & Snacks,14814,7,5184.9,108882.9,3/27/2019,8:35:00 PM,Credit Card,103698,4.761904762,5184.9,7.3
504-35-8843,Colombo,Colombo,Member,Female,Travel Packs & Gear,12741,1,637.05,13378.05,1/2/2019,4:57:00 PM,Cash,12741,4.761904762,637.05,5.7
318-68-5053,Galle,Galle,Member,Female,Ayurvedic & Personal Care,23097,6,6929.1,145511.1,2/27/2019,5:55:00 PM,Cash,138582,4.761904762,6929.1,6.1
565-80-5980,Kandy,Kandy,Member,Female,Household Essentials,14214,4,2842.8,59698.8,1/23/2019,10:25:00 AM,Cash,56856,4.761904762,2842.8,7.1
225-32-0908,Kandy,Kandy,Member,Female,Travel Packs & Gear,13458,10,6729,141309,1/26/2019,7:54:00 PM,Mobile Payment,134580,4.761904762,6729,8.2
873-51-0671,Colombo,Colombo,Member,Female,Travel Packs & Gear,6594,7,2307.9,48465.9,1/10/2019,4:42:00 PM,Mobile Payment,46158,4.761904762,2307.9,5.1
152-08-9985,Galle,Galle,Member,Female,Ayurvedic & Personal Care,19308,9,8688.6,182460.6,3/12/2019,12:09:00 PM,Credit Card,173772,4.761904762,8688.6,8.6
512-91-0811,Kandy,Kandy,Member,Female,Ayurvedic & Personal Care,26925,1,1346.25,28271.25,2/6/2019,8:05:00 PM,Credit Card,26925,4.761904762,1346.25,6.6
594-34-4444,Colombo,Colombo,Member,Female,Mobile & Accessories,29148,1,1457.4,30605.4,3/8/2019,8:38:00 PM,Mobile Payment,29148,4.761904762,1457.4,7.2
766-85-7061,Galle,Galle,Member,Female,Ayurvedic & Personal Care,26361,10,13180.5,276790.5,3/29/2019,10:25:00 AM,Mobile Payment,263610,4.761904762,13180.5,5.1
871-39-9221,Kandy,Kandy,Member,Female,Mobile & Accessories,3735,6,1120.5,23530.5,2/9/2019,1:11:00 PM,Cash,22410,4.761904762,1120.5,4.1
865-92-6136,Colombo,Colombo,Member,Female,Grocery & Snacks,15825,3,2373.75,49848.75,3/23/2019,10:16:00 AM,Mobile Payment,47475,4.761904762,2373.75,9.3
733-01-9107,Galle,Galle,Member,Female,Household Essentials,24810,6,7443,156303,3/5/2019,6:14:00 PM,Cash,148860,4.761904762,7443,7.4
163-56-7055,Kandy,Kandy,Member,Female,Apparel & Footwear,14613,1,730.65,15343.65,3/26/2019,7:20:00 PM,Cash,14613,4.761904762,730.65,4.1
189-98-2939,Kandy,Kandy,Member,Female,Apparel & Footwear,23565,9,10604.25,222689.25,3/1/2019,1:22:00 PM,Cash,212085,4.761904762,10604.25,7.2
551-21-3069,Kandy,Kandy,Member,Female,Mobile & Accessories,6921,9,3114.45,65403.45,2/1/2019,11:27:00 AM,Cash,62289,4.761904762,3114.45,4.9
212-62-1842,Colombo,Colombo,Member,Female,Grocery & Snacks,17478,6,5243.4,110111.4,3/28/2019,4:44:00 PM,Cash,104868,4.761904762,5243.4,9.9
716-39-1409,Galle,Galle,Member,Female,Ayurvedic & Personal Care,9105,7,3186.75,66921.75,3/19/2019,6:19:00 PM,Cash,63735,4.761904762,3186.75,8
704-48-3927,Colombo,Colombo,Member,Female,Mobile & Accessories,26601,10,13300.5,279310.5,1/12/2019,2:50:00 PM,Mobile Payment,266010,4.761904762,13300.5,7.3
628-34-3388,Kandy,Kandy,Member,Female,Apparel & Footwear,8214,6,2464.2,51748.2,1/5/2019,8:54:00 PM,Credit Card,49284,4.761904762,2464.2,7.9
630-74-5166,Colombo,Colombo,Member,Female,Travel Packs & Gear,18639,6,5591.7,117425.7,3/22/2019,8:19:00 PM,Cash,111834,4.761904762,5591.7,7.4
588-01-7461,Kandy,Kandy,Member,Female,Grocery & Snacks,10194,9,4587.3,96333.3,3/24/2019,10:43:00 AM,Cash,91746,4.761904762,4587.3,4.2
861-77-0145,Kandy,Kandy,Member,Female,Mobile & Accessories,24591,10,12295.5,258205.5,3/3/2019,2:30:00 PM,Cash,245910,4.761904762,12295.5,9.2
479-26-8945,Galle,Galle,Member,Female,Travel Packs & Gear,4947,2,494.7,10388.7,2/5/2019,11:32:00 AM,Mobile Payment,9894,4.761904762,494.7,4.6
210-67-5886,Kandy,Kandy,Member,Female,Ayurvedic & Personal Care,29463,3,4419.45,92808.45,2/5/2019,10:41:00 AM,Credit Card,88389,4.761904762,4419.45,7.8
227-78-1148,Galle,Galle,Member,Female,Apparel & Footwear,21852,7,7648.2,160612.2,2/15/2019,12:44:00 PM,Cash,152964,4.761904762,7648.2,8.4
645-44-1170,Colombo,Colombo,Member,Female,Household Essentials,17421,9,7839.45,164628.45,1/19/2019,8:07:00 PM,Mobile Payment,156789,4.761904762,7839.45,4.3
237-01-6122,Kandy,Kandy,Member,Female,Household Essentials,24237,9,10906.65,229039.65,2/1/2019,8:31:00 PM,Credit Card,218133,4.761904762,10906.65,9.5
225-98-1496,Kandy,Kandy,Member,Female,Apparel & Footwear,8106,3,1215.9,25533.9,3/2/2019,1:01:00 PM,Credit Card,24318,4.761904762,1215.9,7.1
291-32-1427,Galle,Galle,Member,Female,Apparel & Footwear,6582,5,1645.5,34555.5,3/5/2019,12:29:00 PM,Mobile Payment,32910,4.761904762,1645.5,5.3
659-65-8956,Galle,Galle,Member,Female,Apparel & Footwear,15408,1,770.4,16178.4,1/16/2019,3:26:00 PM,Mobile Payment,15408,4.761904762,770.4,5.2
642-32-2990,Colombo,Colombo,Member,Female,Grocery & Snacks,3288,10,1644,34524,2/2/2019,8:48:00 PM,Mobile Payment,32880,4.761904762,1644,6
378-24-2715,Galle,Galle,Member,Female,Household Essentials,16032,2,1603.2,33667.2,1/20/2019,8:38:00 PM,Mobile Payment,32064,4.761904762,1603.2,4.1
638-60-7125,Colombo,Colombo,Member,Female,Mobile & Accessories,29868,8,11947.2,250891.2,2/14/2019,5:03:00 PM,Credit Card,238944,4.761904762,11947.2,5.2
659-36-1684,Kandy,Kandy,Member,Female,Travel Packs & Gear,17136,7,5997.6,125949.6,1/12/2019,12:02:00 PM,Credit Card,119952,4.761904762,5997.6,6.5
219-22-9386,Galle,Galle,Member,Female,Travel Packs & Gear,29988,9,13494.6,283386.6,3/9/2019,5:26:00 PM,Credit Card,269892,4.761904762,13494.6,4.2
336-78-2147,Kandy,Kandy,Member,Female,Household Essentials,19173,8,7669.2,161053.2,3/13/2019,7:52:00 PM,Credit Card,153384,4.761904762,7669.2,4.6
268-27-6179,Galle,Galle,Member,Female,Apparel & Footwear,16941,8,6776.4,142304.4,3/9/2019,2:57:00 PM,Mobile Payment,135528,4.761904762,6776.4,7.3
668-90-8900,Colombo,Colombo,Member,Female,Household Essentials,28107,7,9837.45,206586.45,3/10/2019,6:44:00 PM,Credit Card,196749,4.761904762,9837.45,4.5
870-54-3162,Colombo,Colombo,Member,Female,Travel Packs & Gear,9675,5,2418.75,50793.75,1/27/2019,1:26:00 PM,Cash,48375,4.761904762,2418.75,9
189-08-9157,Kandy,Kandy,Member,Female,Apparel & Footwear,9519,9,4283.55,89954.55,1/8/2019,4:17:00 PM,Credit Card,85671,4.761904762,4283.55,5.9
663-86-9076,Kandy,Kandy,Member,Female,Grocery & Snacks,20562,8,8224.8,172720.8,1/8/2019,3:57:00 PM,Mobile Payment,164496,4.761904762,8224.8,8.5
549-84-7482,Galle,Galle,Member,Female,Travel Packs & Gear,27084,9,12187.8,255943.8,2/8/2019,11:15:00 AM,Mobile Payment,243756,4.761904762,12187.8,7.2
191-10-6171,Galle,Galle,Normal,Female,Apparel & Footwear,11886,7,4160.1,87362.1,1/25/2019,1:18:00 PM,Cash,83202,4.761904762,4160.1,7.5
802-70-5316,Colombo,Colombo,Member,Female,Travel Packs & Gear,27639,6,8291.7,174125.7,3/6/2019,8:34:00 PM,Cash,165834,4.761904762,8291.7,8.3
695-51-0018,Galle,Galle,Normal,Female,Travel Packs & Gear,10452,4,2090.4,43898.4,2/10/2019,6:36:00 PM,Cash,41808,4.761904762,2090.4,7.4
590-83-4591,Galle,Galle,Member,Female,Mobile & Accessories,26235,6,7870.5,165280.5,2/17/2019,2:40:00 PM,Credit Card,157410,4.761904762,7870.5,8.8
483-71-1164,Kandy,Kandy,Normal,Female,Ayurvedic & Personal Care,24390,6,7317,153657,3/8/2019,4:43:00 PM,Mobile Payment,146340,4.761904762,7317,5.3
597-78-7908,Kandy,Kandy,Normal,Female,Apparel & Footwear,27066,3,4059.9,85257.9,2/18/2019,7:39:00 PM,Cash,81198,4.761904762,4059.9,6.2
700-81-1757,Colombo,Colombo,Normal,Female,Mobile & Accessories,7893,5,1973.25,41438.25,1/18/2019,8:59:00 PM,Credit Card,39465,4.761904762,1973.25,8.8
354-39-5160,Colombo,Colombo,Member,Female,Household Essentials,10326,6,3097.8,65053.8,2/18/2019,3:39:00 PM,Cash,61956,4.761904762,3097.8,9.8
241-72-9525,Galle,Galle,Normal,Female,Travel Packs & Gear,15573,10,7786.5,163516.5,2/16/2019,12:21:00 PM,Cash,155730,4.761904762,7786.5,8.2
575-30-8091,Colombo,Colombo,Normal,Female,Travel Packs & Gear,21750,8,8700,182700,3/16/2019,7:25:00 PM,Mobile Payment,174000,4.761904762,8700,9.2
731-81-9469,Kandy,Kandy,Member,Female,Travel Packs & Gear,26940,10,13470,282870,1/23/2019,1:00:00 PM,Credit Card,269400,4.761904762,13470,5.4
280-17-4359,Kandy,Kandy,Member,Male,Ayurvedic & Personal Care,27150,10,13575,285075,1/25/2019,1:48:00 PM,Cash,271500,4.761904762,13575,8.1
338-65-2210,Kandy,Kandy,Member,Female,Ayurvedic & Personal Care,20580,10,10290,216090,2/5/2019,7:57:00 PM,Cash,205800,4.761904762,10290,9.1
488-25-4221,Kandy,Kandy,Member,Female,Grocery & Snacks,9123,1,456.15,9579.15,2/22/2019,10:36:00 AM,Credit Card,9123,4.761904762,456.15,8.4
239-10-7476,Colombo,Colombo,Normal,Female,Household Essentials,23385,6,7015.5,147325.5,1/21/2019,4:37:00 PM,Mobile Payment,140310,4.761904762,7015.5,8
458-41-1477,Kandy,Kandy,Normal,Female,Ayurvedic & Personal Care,13878,6,4163.4,87431.4,3/8/2019,5:11:00 PM,Credit Card,83268,4.761904762,4163.4,9.5
685-64-1609,Colombo,Colombo,Member,Female,Apparel & Footwear,9042,10,4521,94941,2/10/2019,12:28:00 PM,Mobile Payment,90420,4.761904762,4521,9.2
568-90-5112,Kandy,Kandy,Normal,Male,Ayurvedic & Personal Care,19842,4,3968.4,83336.4,3/19/2019,12:46:00 PM,Credit Card,79368,4.761904762,3968.4,5.6
262-47-2794,Galle,Galle,Member,Male,Household Essentials,21558,8,8623.2,181087.2,3/6/2019,3:07:00 PM,Credit Card,172464,4.761904762,8623.2,6.2
238-49-0436,Colombo,Colombo,Normal,Male,Ayurvedic & Personal Care,9738,8,3895.2,81799.2,3/27/2019,1:48:00 PM,Credit Card,77904,4.761904762,3895.2,4.9
608-96-3517,Galle,Galle,Member,Female,Apparel & Footwear,27462,4,5492.4,115340.4,3/23/2019,7:20:00 PM,Credit Card,109848,4.761904762,5492.4,4.8
584-86-7256,Kandy,Kandy,Member,Male,Travel Packs & Gear,10368,7,3628.8,76204.8,3/11/2019,4:07:00 PM,Credit Card,72576,4.761904762,3628.8,7.3
746-94-0204,Colombo,Colombo,Normal,Male,Apparel & Footwear,24972,9,11237.4,235985.4,1/29/2019,11:56:00 AM,Credit Card,224748,4.761904762,11237.4,7.4
214-17-6927,Kandy,Kandy,Normal,Female,Grocery & Snacks,4944,6,1483.2,31147.2,2/7/2019,6:23:00 PM,Mobile Payment,29664,4.761904762,1483.2,9.9
400-89-4171,Kandy,Kandy,Normal,Female,Travel Packs & Gear,24291,8,9716.4,204044.4,1/28/2019,1:05:00 PM,Cash,194328,4.761904762,9716.4,9.3
782-95-9291,Colombo,Colombo,Member,Male,Grocery & Snacks,27687,5,6921.75,145356.75,2/20/2019,3:55:00 PM,Credit Card,138435,4.761904762,6921.75,9
279-74-2924,Galle,Galle,Member,Male,Mobile & Accessories,21651,1,1082.55,22733.55,1/4/2019,7:40:00 PM,Cash,21651,4.761904762,1082.55,6.1
307-85-2293,Galle,Galle,Normal,Male,Household Essentials,15084,5,3771,79191,3/7/2019,1:58:00 PM,Mobile Payment,75420,4.761904762,3771,9.7
743-04-1105,Galle,Galle,Member,Male,Ayurvedic & Personal Care,29166,9,13124.7,275618.7,3/30/2019,2:43:00 PM,Mobile Payment,262494,4.761904762,13124.7,6
